#	type1	type2	LJ	eps	sigma	cutoff	ref
pair	ABB	ABB	9_6	1.2	4.74	15	2
pair	ANI	ANI	9_6	0.86	4.2	15	7
pair	ANI	CM	9_6	0.6	4.35	15	7
pair	ANI	CT2	9_6	0.52	4.21	15	7
pair	ANI	W	9_6	0.894	4.285	15	7
pair	ARG1	ARG1	9_6	0.469	4.59	15	2
pair	ARG2	ARG2	9_6	0.497	4	15	2
pair	ASN	ASN	9_6	0.87	4.15	15	2
pair	ASP	ASP	9_6	0.497	4	15	2
pair	BEN	ANI	9_6	0.47	4.05	15	7
pair	BEN	BEN	9_6	0.26	3.9	15	7
pair	BEN	CM	9_6	0.33	4.2	15	7
pair	BEN	CT2	9_6	0.29	4.06	15	7
pair	BEN	W	9_6	0.411	4.14	15	7
pair	BER	BER	9_6	0.175	3.8	15	3
pair	BER	BER	9_6	0.175	3.8	15	3
pair	BER	CM	9_6	0.31	4.153	15	3
pair	BER	CMD2	9_6	0.1768	3.9025	15	5
pair	BER	CT	9_6	0.3	4.193	15	3
pair	BER	CT2	9_6	0.237	4.0105	15	3
pair	BER	EST1	9_6	0.224	4.05	15	5
pair	BER	EST2	9_6	0.224	4.05	15	5
pair	BER	GL	9_6	0.2711	4.153	15	5
pair	BER	NC	9_6	0.1987	4.775	15	5
pair	BER	PH	9_6	0.3997	4.6	15	5
pair	BER	PHR	9_6	0.3102	3.65	15	3
pair	BER	W	9_6	0.32	4.085	15	3
pair	BER	XYR	9_6	0.237	3.9	15	3
pair	CAM	CAM	9_6	0.2	4.8	15	6
pair	CAM	CM3	9_6	0.295	4.65	15	6
pair	CAM	CM4	9_6	0.2966	4.96	15	6
pair	CAM	CMT	9_6	0.228	4.79	15	6
pair	CAM	CMY	9_6	0.2408	4.83	15	6
pair	CAM	CT2	9_6	0.2458	4.515	15	6
pair	CAM	CT3	9_6	0.3063	4.69	15	6
pair	CAM	CT4	9_6	0.3644	4.756	15	6
pair	CAM	CTY	9_6	0.2676	4.839	15	6
