# type1	type2	type3	type3	k0	k1	k2	k3

c*	c*	c3ho	o	2035.58	-736.9	57.84	-293.23	
c*	c*	c3mo	o	2035.58	-736.9	57.84	-293.23	
c*	c*	c3o	o	2035.58	-736.9	57.84	-293.23	
c4*	c*	n3*	hn	352.2	47.8	-105	-105	
c*	c*	os	c*	0	725.35	-163.75	558.20	
c3*	c3*	c3o	o	823.03	-47.91	-773.13	1.99	
c3*	c3*	c3o	os	436.47	49.4025	386.565	0.4975	
c3*	c3*	c3o	os	823.03	47.91	-773.13	-1.99	
c3*	c3*	os	c4*	895.2	417.41	1373.14	30.19	
c*	c3h	c3h	c*	0	127	6540	-127	
c*	c3h	c4*	ca*	0	0	167	0	
c3*	c3h	c4h2	c*	688.5	86.36	-109.77	-282.24	
n3*	c3mo	c4*	c*	221.34	481	-150	-115	
n3*	c3mo	c4*	hc	221.34	481	-150	-115	
o	c3mo	c4*	c*	221.34	481	-150	-115	
o	c3mo	c4*	hc	221.34	481	-150	-115	
o	c3mo	n3*	hn	1119	-163	629	0	
c*	c3o	os	c4*	1820.74	417.41	-1373.14 0	
c4*	c3o	os	c3h	-14.48	993.1	520.7	-138.5	
o	c3o	os	c3*	4716	2194	2059	-153.4	
o	c3o	os	c4*	1820.74	-417.41	-1373.14 0	
c*	c4	c4h2	c*	0	0	0	461.29	
s*	c4	c4h2	c*	0	0	0	461.29	
c*	c4	oh	ho	0	0	0	163.56	
c4*	c4*	c4*	n3*	221.34	481	-150	-115	
hc	c4*	c4*	c*	0	0	0	854	
hc	c4*	c4*	n3*	221.34	481	-150	-115	
hc	c4*	c4*	no	454.32	-219	-63.7	4.98	
ca*	c4*	c4h2	c*	0	0	131	0	
c*	c4*	n3*	c4*	6443.6	-2188	-1381	-890	
hc	c4*	n3*	c4*	357.78	-37	-4.69	-142	
hc	c4*	n3*	hn	422.74	-109	-12.5	-102	
c*	c4*	no	on	127.09	-41.4	14.5	-19.1	
hc	c4*	no	on	260.72	-40.8	-80.4	-41.	
c4*	c4*	os	c3*	665.84	-751.83	538.95	-22.1	
c*	c4*	sc	c4*	0	367.6	-270.18	581.64	
c*	c4h	c4h	c*	-251.06	428.73	-111.85	441.27	
c*	c4h	c4h2	c*	-251.06	428.73	-111.85	441.27	
s*	c4h	c4h2	c*	-251.06	428.73	-111.85	441.27	
c*	c4h	oh	ho	215.96	197.33	31.46	-173.92	
c4h3	c4h	sh	hs	0	0	0	400	
c*	c4h2	c4h2	c*	0	355.03	-68.19	791.32	
c*	c4h2	c4h2	oh	0	176.62	-53.34	769.93	
c*	c4h2	c4h2	os	0	176.62	-53.34	769.93	
oh	c4h2	c4h2	oh	503.24	0	-251.62	1006.47	
os	c4h2	c4h2	oh	503.24	0	-251.62	1006.47	
os	c4h2	c4h2	os	503.24	0	-251.62	1006.47	
c*	c4h2	oh	ho	0	209.82	-29.17	187.93	
c*	c4h2	sh	hs	52.88	-52.05	18.46	306.36	
ca*	ca*	ca*	ca*	0	0	1560.07	0	
m	ca*	ca*	ca*	0	0	1560.07	0	
ca*	ca*	m	m	0	0	1560.07	0	
c*	sc	sc	c*	1763.9	398	-2181.6	505.25	
